Model,Heuristic,Runs,CTC,TotalTrees,MedianAnalyzed,MeanAnalyzed,MinAnalyzed,MaxAnalyzed,MedianTime,MeanTime,MinTime,MaxTime,RatioAnalyzedAvoid,RatioAvoidAnalyzed,PercentageFinished
Pizza,Random,31,5.0,32,26,26.387096774193548,22,32,0.0042,0.004396774193548387,0.0036,0.0059,4.333333333333333,0.23076923076923078,100.0
MobileMedia2,Random,31,3.0,8,8,8,8,8,0.0027,0.0026870967741935486,0.0025,0.0029,0,0.0,100.0
ApoGames,Random,31,19.0,524288,148,153.67741935483872,91,262,0.0422,0.045048387096774195,0.0309,0.0651,0.00028237269379734035,3.54e3,99.99809265136719
BerkeleyDb,Random,31,46.0,70368744177664,27432,30680.032258064515,8692,69032,4.4456,5.119554838709678,1.2819,18.7769,3.8983216669943483e-10,2.56e9,99.99999999998863
Truck,Random,31,10.0,1024,167,174.61290322580646,108,232,0.0432,0.04362903225806452,0.0319,0.0528,0.19486581096849476,5.e0,100.0
JHipster,Random,31,44.0,17592186044416,6385,6787.290322580645,3846,12640,1.4856,1.7389258064516129,0.8664,4.4258,3.629452295579884e-10,2.75e9,100.0
Graph,Random,31,61.0,2305843009213693952,17660,18267.774193548386,11151,27820,5.9712,6.880541935483871,3.6778,10.9786,7.658804146437662e-15,1.30e14,100.0
FQAs,Random,31,7.0,128,128,128,128,128,0.1117,0.11221290322580645,0.1076,0.1219,0,0.0,100.0
Oh2019,Random,31,61.0,2305843009213693952,7487,7209.354838709677,4397,10087,2.3971,2.6653258064516128,1.4571,6.4014,3.2469686661595993e-15,3.07e14,100.0
MTG,Random,31,41.0,2199023255552,1157492,1260800.3548387096,380094,2694336,1112.8066,1140.1728967741935,374.6281,2096.001,5.263666977349873e-07,1.89e6,99.9999999998181
Gpl,Random,31,86.0,77371252455336267181195264,6055322,6573942.741935484,2265252,16112566,3339.7312,4439.419948387097,1009.2448,10795.1954,7.826320251821601e-20,1.27e19,100.0

